Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",National Youth Music Organisation,2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments
Octopus Collective Ltd.,NPO,,70232,71524,149958,Music,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,
Oily Cart,NPO,,286576,291849,291849,Theatre,London,London,Tooting,Wandsworth,Non-LUCP,Non-Priority place,
One Dance UK,NPO,,750000,763800,763800,Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
One Latin Culture Ltd,NPO,,0,0,150000,Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Opal22 Arts,NPO,,0,0,153000,Combined arts,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Open Clasp Theatre Company,NPO,,177043,180301,180301,Theatre,North,North East,Newcastle upon Tyne Central,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
Open Eye gallery,NPO,,242301,246759,246759,Visual arts,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Open School East,NPO,,90000,91656,91656,Visual arts,South East,South East,North Thanet,Thanet,Non-LUCP,Non-Priority place,
Open Sky Theatre,NPO,,0,0,105000,Theatre,Midlands,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,
Open Theatre Company,NPO,,150000,152760,452760,Theatre,Midlands,West Midlands,Coventry North West,Coventry,Non-LUCP,Non-Priority place,
OpenUp Music,NPO,Yes,160000,162944,350000,Music,South West,South West,Bristol East,"Bristol, City of",Non-LUCP,Non-Priority place,
Opera North Limited,NPO,,10386000,10577102,10677102,Music,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
OperaUpClose,NPO,,0,0,195000,Music,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,
OPUS Music CIC,NPO,,0,0,145000,Music,Midlands,East Midlands,Bolsover,Bolsover,LUCP,Priority place,
Orchestra of the Age of Enlightenment,NPO,,203904,207656,207656,Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Orchestras for All,NPO (Transfer),Yes,0,0,300000,Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Orchestras Live,NPO,,479134,487950,689314,Music,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Otolith Collective Ltd,NPO,,50290,51215,51215,Visual arts,London,London,Hackney North and Stoke Newington,Hackney,Non-LUCP,Non-Priority place,
OutdoorArtsUK,IPSO,,170442,173578,173578,Combined arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Outlands Network,NPO,,0,0,79479,Music,South East,South East,"Brighton, Kemptown",Brighton and Hove,Non-LUCP,Non-Priority place,
Outside In,NPO,,100000,101840,101840,Visual arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Ovalhouse Theatre Ltd,NPO,,475527,484277,699999,Theatre,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,
Oxford Contemporary Music,NPO,,185783,189201,189201,Music,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
Oxford Playhouse Trust,NPO,,379474,386456,386456,Theatre,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
Pagoda Arts,NPO,Yes,44864,45689,50000,Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Pagrav Company Limited,NPO,,0,0,250000,Dance,South East,South East,Milton Keynes South,Milton Keynes,Non-LUCP,Non-Priority place,
Paines Plough,NPO (Transfer),,315620,321427,321427,Theatre,London,London,Islington North,Islington,Non-LUCP,Non-Priority place,
Palace Theatre Watford Limited,NPO,,790571,805118,805118,Theatre,South East,East of England,Watford,Watford,Non-LUCP,Non-Priority place,
Paraiso School of Samba,NPO (Transfer),,60348,61458,116458,Combined arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Paraorchestra and Friends,NPO,,249000,253582,998582,Music,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
Partners in Creative Learning,NPO,,0,0,150000,Not discipline specific,Midlands,West Midlands,Newcastle-under-Lyme,Newcastle-under-Lyme,Non-LUCP,Non-Priority place,
Pavilion Dance South West Ltd,NPO,,386216,393322,393322,Dance,South West,South West,Bournemouth West,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,
Peckham Platform Ltd,NPO,,75000,76380,116308,Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
Peepal Tree Press,NPO,,150500,153269,153269,Literature,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Peer UK,NPO,,85590,87165,87165,Visual arts,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Pegasus Opera Company,NPO,,0,0,200000,Music,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Pegasus Theatre Trust,NPO,,299973,305493,305489,Theatre,South East,South East,Oxford East,Oxford,Non-LUCP,Non-Priority place,
Pentabus Arts Ltd,NPO,,187332,190779,190779,Theatre,Midlands,West Midlands,Ludlow,Shropshire,Non-LUCP,Non-Priority place,
People Express,NPO,,54313,55312,90312,Combined arts,Midlands,East Midlands,South Derbyshire,South Derbyshire,Non-LUCP,Non-Priority place,
People United,NPO,,125000,127300,127300,Combined arts,South East,South East,Canterbury,Canterbury,Non-LUCP,Non-Priority place,
People's History Museum,NPO,,322000,327925,327925,Museums,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
People's Palace Projects,NPO,,132145,134576,134576,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Peshkar,NPO,,75794,77189,107189,Combined arts,North,North West,Oldham East and Saddleworth,Oldham,LUCP,Non-Priority place,
Philharmonia Limited,NPO,,2042222,2079799,1830223,Music,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Phizzical Productions,NPO,,0,0,197431,Theatre,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Phoenix Dance Theatre,NPO,,428510,436395,551395,Dance,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Photofusion,NPO,,142895,145524,186044,Visual arts,London,London,Dulwich and West Norwood,Lambeth,Non-LUCP,Non-Priority place,
Photoworks,NPO,,268315,273252,350013,Visual arts,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,
Pilot Theatre Ltd,NPO,,329720,335787,335787,Theatre,North,Yorkshire and The Humber,York Central,York,Non-LUCP,Non-Priority place,
Pioneer Theatres Ltd t/a Theatre Royal Stratford East,NPO,,1105506,1125847,1125847,Theatre,London,London,West Ham,Newham,Non-LUCP,Priority place,
PIPA,IPSO,,0,0,200000,Not discipline specific,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Platform : London,NPO,,0,0,70000,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Plymouth Culture CIO,NPO,,133000,135447,135447,Not discipline specific,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
PoemsOnTheUnderground,NPO,,52705,53675,53675,Literature,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
Poet in the City,NPO,,67079,68313,68313,Literature,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Poetry London,NPO,,47913,48795,50000,Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Poetry Translation Centre Ltd,NPO,,124575,126867,126867,Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Polka Theatre,NPO,,570219,580711,580711,Theatre,London,London,Wimbledon,Merton,Non-LUCP,Non-Priority place,
Poole Arts Trust Ltd,NPO,,342213,348510,348510,Combined arts,South West,South West,Poole,"Bournemouth, Christchurch and Poole",Non-LUCP,Non-Priority place,
Portraits of Recovery,NPO,,0,0,150000,Visual arts,North,North West,Oldham West and Royton,Oldham,LUCP,Non-Priority place,
POWERED BY CAN LTD,NPO,,0,0,250000,Combined arts,Midlands,West Midlands,West Bromwich East,Sandwell,LUCP,Priority place,
Prema Arts Centre,NPO,,69258,70532,70532,Combined arts,South West,South West,Stroud,Stroud,Non-LUCP,Non-Priority place,
Preston City Council,NPO,,225000,229140,229140,Museums,North,North West,Preston,Preston,LUCP,Non-Priority place,
Primary,NPO,,65000,66196,66196,Not discipline specific,Midlands,East Midlands,Nottingham South,Nottingham,Non-LUCP,Non-Priority place,
Prime Theatre,NPO,,87937,89555,207555,Theatre,South West,South West,South Swindon,Swindon,LUCP,Priority place,
Prism Arts,NPO,,50613,51544,51544,Combined arts,North,North West,Carlisle,Carlisle,Non-LUCP,Non-Priority place,
Project Art Works,NPO,,149676,152430,500000,Visual arts,South East,South East,Hastings and Rye,Hastings,Non-LUCP,Non-Priority place,
Project Space Leeds,NPO,,250000,254600,254600,Visual arts,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Protege,NPO,,0,0,55000,Visual arts,London,London,Brentford and Isleworth,Hounslow,Non-LUCP,Non-Priority place,
Proteus Theatre Company,NPO,,68600,69862,69862,Theatre,South West,South East,Basingstoke,Basingstoke and Deane,Non-LUCP,Non-Priority place,
Proud and Loud Arts,NPO,,0,0,200000,Theatre,North,North West,Worsley and Eccles South,Salford,Non-LUCP,Non-Priority place,
PUNCH RECORDS,NPO,,251449,256076,456076,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Punchdrunk Enrichment,NPO,,226304,230468,230468,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Quarantine,NPO,,160928,163889,163889,Theatre,North,North West,Stretford and Urmston,Trafford,Non-LUCP,Non-Priority place,
Queen's Hall Arts,NPO,,118147,120321,120321,Combined arts,North,North East,Hexham,Northumberland,LUCP,Non-Priority place,
Rambert,NPO,,2237000,2278161,2164253,Dance,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Raw Material Music and Media Education,NPO,,117234,119391,157791,Music,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Readipop,NPO,,90000,91656,113656,Music,South East,South East,Reading East,Reading,Non-LUCP,Non-Priority place,
Real Ideas Organisation CIC,NPO,,1025680,1044553,860817,Not discipline specific,South West,South West,"Plymouth, Sutton and Devonport",Plymouth,Non-LUCP,Non-Priority place,
Red Ladder Theatre Company,NPO,,165000,168036,189386,Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Redhills CIO,NPO,,0,0,150000,Combined arts,North,North East,City of Durham,County Durham,LUCP,Priority place,
Reform Radio,NPO,,0,0,160000,Music,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Resonance,NPO,,160277,163226,163226,Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Resource Productions,NPO,,0,0,130000,Not discipline specific,South East,South East,Slough,Slough,LUCP,Priority place,
Restoke,NPO,,0,0,160000,Combined arts,Midlands,West Midlands,Stoke-on-Trent South,Stoke-on-Trent,LUCP,Priority place,
Rhiannon Faith Company,NPO,,0,0,220000,Dance,South East,East of England,Harlow,Harlow,LUCP,Non-Priority place,
Rich Mix Cultural Foundation,NPO,,301738,307290,307290,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Rifco Arts,NPO,,325404,331391,473391,Theatre,South East,East of England,Watford,Watford,Non-LUCP,Non-Priority place,
Ripon Museum Trust,NPO,,140000,142576,142576,Museums,North,Yorkshire and The Humber,Skipton and Ripon,Harrogate,Non-LUCP,Non-Priority place,
RJC Dance,NPO,,75224,76608,151608,Dance,North,Yorkshire and The Humber,Leeds North East,Leeds,Non-LUCP,Non-Priority place,
Rosehill Arts Trust,NPO,,62287,63433,208523,Combined arts,North,North West,Copeland,Copeland,LUCP,Priority place,
Rosetta Art Centre CIO,NPO,,45000,45828,100000,Visual arts,London,London,West Ham,Newham,Non-LUCP,Priority place,
"Rotherham Museums, Arts & Heritage",NPO,,0,0,250000,Museums,North,Yorkshire and The Humber,Rotherham,Rotherham,LUCP,Priority place,
Rotherham Open Arts Renaissance (ROAR),NPO,,70439,71735,71735,Visual arts,North,Yorkshire and The Humber,Rotherham,Rotherham,LUCP,Priority place,
Royal Court Liverpool Trust,NPO,,225000,213864,333864,Theatre,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Royal Exchange Theatre Company Ltd,NPO,,2332000,2374909,2374909,Theatre,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Royal Liverpool Philharmonic,NPO,,2231646,2272708,2472708,Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
Royal Opera House,NPO,,24755681,25211186,22268584,Not discipline specific,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Royal Pavilion & Museums Trust,NPO,,0,1232386,711360,Museums,South East,South East,"Brighton, Pavilion",Brighton and Hove,Non-LUCP,Non-Priority place,See Museums Development comment on the 'MD comments' tab.
Royal Philharmonic Orchestra Ltd,NPO,,946394,963808,963808,Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Royal Shakespeare Company,NPO,,14984000,15259706,15259706,Theatre,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon,Non-LUCP,Non-Priority place,
Ruff Sqwad Arts Foundation,NPO,,0,0,117000,Music,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Rural Arts North Yorkshire,NPO,,75509,76898,97699,Combined arts,North,Yorkshire and The Humber,Thirsk and Malton,Hambleton,Non-LUCP,Non-Priority place,
Rural Media Charity,NPO,,246500,251036,251036,Visual arts,Midlands,West Midlands,Hereford and South Herefordshire,"Herefordshire, County of",Non-LUCP,Non-Priority place,
Sadler's Wells,NPO,,2456153,2501346,2376279,Dance,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Sampad (South Asian Arts Development),NPO,,243906,248394,248394,Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
Scarborough Theatre Trust Ltd,NPO,,637715,649449,649449,Theatre,North,Yorkshire and The Humber,Scarborough and Whitby,Scarborough,Non-LUCP,Non-Priority place,
Screen South,NPO,,0,0,320000,Not discipline specific,South East,South East,Folkestone and Hythe,Folkestone and Hythe,Non-LUCP,Non-Priority place,
Second Hand Dance,NPO,,0,0,230000,Dance,South East,South East,Epsom and Ewell,Epsom and Ewell,Non-LUCP,Non-Priority place,
Seeta Patel Dance Ltd,NPO,,0,0,310000,Dance,South West,South West,Bristol North West,"Bristol, City of",Non-LUCP,Non-Priority place,
Sefton Libraries,NPO,,0,0,195000,Libraries,North,North West,Bootle,Sefton,LUCP,Non-Priority place,
Selina Thompson Ltd,NPO,,0,0,350000,Theatre,Midlands,West Midlands,Sutton Coldfield,Birmingham,Non-LUCP,Non-Priority place,
Sense,NPO,,0,0,250000,Combined arts,Midlands,West Midlands,"Birmingham, Selly Oak",Birmingham,Non-LUCP,Non-Priority place,
Serendipity,NPO,,210000,213864,427728,Dance,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Serious Events Limited,NPO,,452778,461109,461109,Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Serpentine Galleries,NPO,,1193725,1215690,708000,Visual arts,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Settle Stories,NPO,,0,0,150000,Literature,North,Yorkshire and The Humber,Skipton and Ripon,Craven,Non-LUCP,Non-Priority place,
"Seven Stories, The National Centre for Children's Books",NPO,,577602,588230,588230,Museums,North,North East,Newcastle upon Tyne East,Newcastle upon Tyne,Non-LUCP,Non-Priority place,
Shabang! Inclusive Learning,NPO,,0,0,82000,Combined arts,North,Yorkshire and The Humber,Colne Valley,Kirklees,LUCP,Priority place,
Shademakers UK Carnival Club,NPO,,50290,51215,201215,Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,
Shakespeare Birthplace Trust,NPO,,220000,224048,224048,Museums,Midlands,West Midlands,Stratford-on-Avon,Stratford-on-Avon,Non-LUCP,Non-Priority place,
Shape London,NPO (Transfer),,286551,291824,341824,Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
sheba arts,NPO,,0,0,149000,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Sheffield Museums Trust,NPO,,800000,814720,814720,Museums,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Sheffield Theatres Trust Ltd,NPO,,1279865,1303415,1303415,Theatre,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
ShivaNova,NPO,,0,0,92000,Music,South East,South East,Ashford,Ashford,Non-LUCP,Non-Priority place,
Shropshire Council,NPO,,0,0,188999,Museums,Midlands,West Midlands,Shrewsbury and Atcham,Shropshire,Non-LUCP,Non-Priority place,
Shubbak: A Window on Contemporary Arab Culture,NPO,,85000,86564,171564,Combined arts,London,London,Cities of London and Westminster,City of London,Non-LUCP,Non-Priority place,
SICK! Productions,NPO,,249500,254091,254091,Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,
Signal Film and Media,NPO,,0,0,200000,Combined arts,North,North West,Barrow and Furness,Barrow-in-Furness,LUCP,Priority place,
SIGNALS ESSEX MEDIA CENTRE LTD,NPO,,0,0,65000,Combined arts,South East,East of England,Colchester,Colchester,Non-LUCP,Non-Priority place,
Simmer Down CIC,NPO,,0,0,200000,Music,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Sinfonietta Productions Limited,NPO,,499565,508757,300000,Music,London,London,Islington South and Finsbury,Islington,Non-LUCP,Non-Priority place,
Siobhan Davies Dance,NPO,,582018,592727,592727,Dance,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Site Gallery,NPO,,314107,319887,319887,Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,
Slung Low Limited,NPO,,185141,188548,188548,Theatre,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
Small Green Shoots,NPO,,120000,122208,383000,Music,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,
SoCo Music Project,NPO,,0,0,172000,Music,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,
Soft Touch Arts Ltd,NPO,,88510,90139,90139,Not discipline specific,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,
Soho Theatre Company,NPO,,603478,614582,614582,Theatre,London,London,Cities of London and Westminster,Westminster,Non-LUCP,Non-Priority place,
Somerset Art Works,NPO,,90000,91656,91656,Visual arts,South West,South West,Somerton and Frome,South Somerset,LUCP,Priority place,
Somerset Film and Video Ltd,NPO,,87453,89062,89062,Visual arts,South West,South West,Bridgwater and West Somerset,Sedgemoor,LUCP,Non-Priority place,
Sonia Sabri Company,NPO,,125034,127335,218135,Dance,Midlands,West Midlands,"Birmingham, Selly Oak",Birmingham,Non-LUCP,Non-Priority place,
Soul City Arts,NPO,,0,0,300000,Combined arts,Midlands,West Midlands,"Birmingham, Hall Green",Birmingham,Non-LUCP,Non-Priority place,
Soumik Datta Arts,NPO,,0,0,133000,Music,South West,South West,Stroud,Stroud,Non-LUCP,Non-Priority place,
Sound Connections,NPO,,0,0,120000,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Sound Minds,NPO,,0,0,92500,Music,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,
SoundCity,NPO,,200000,203680,203680,Music,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,
South Asian Arts-uk,NPO,,181000,184330,684330,Music,North,Yorkshire and The Humber,Leeds Central,Leeds,Non-LUCP,Non-Priority place,
South East Dance Ltd,NPO,,570169,580660,580660,Dance,South East,South East,"Brighton, Kemptown",Brighton and Hove,Non-LUCP,Non-Priority place,
South London Gallery,NPO,,811415,826345,826345,Visual arts,London,London,Camberwell and Peckham,Southwark,Non-LUCP,Non-Priority place,
South Tyneside Council,NPO,,0,0,125000,Libraries,North,North East,South Shields,South Tyneside,LUCP,Priority place,
South West Heritage Trust,NPO,,0,0,212600,Museums,South West,South West,Taunton Deane,Somerset West and Taunton,Non-LUCP,Non-Priority place,
Southbank Centre,NPO,,18360000,18697824,16828042,Combined arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Southpaw Dance Productions,NPO,,0,0,230000,Dance,North,North East,Sunderland Central,Sunderland,LUCP,Non-Priority place,
Spare Tyre Theatre Company Ltd,NPO,,150870,153646,153646,Theatre,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Spectra Arts CIC,NPO,,0,0,120000,Combined arts,Midlands,West Midlands,Warley,Sandwell,LUCP,Priority place,
Spike Island Artspace Ltd,NPO,,280000,285152,285152,Visual arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
SPILL Festival Limited,NPO,,266708,271615,271615,Combined arts,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,
Spitalfields Festival Ltd.,NPO,,70000,71288,97488,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Spread the Word,NPO,,197397,201029,281029,Literature,London,London,"Lewisham, Deptford",Lewisham,Non-LUCP,Non-Priority place,
Square Chapel CIC,NPO,,0,0,159000,Theatre,North,Yorkshire and The Humber,Halifax,Calderdale,Non-LUCP,Non-Priority place,
ss Great Britain Trust,NPO,,210000,213864,213864,Museums,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
St Albans Museums,NPO,,0,0,351375,Museums,South East,East of England,St Albans,St Albans,Non-LUCP,Non-Priority place,
St Barbe Museum and Art Gallery,NPO,,0,0,150000,Museums,South West,South East,New Forest West,New Forest,LUCP,Priority place,
St Helens Council Library Service,NPO,,110000,112024,236309,Libraries,North,North West,St Helens South and Whiston,St. Helens,LUCP,Non-Priority place,
St Margaret's House,NPO,,0,0,150000,Combined arts,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
St Pauls Carnival (Bristol) CIC,NPO,,150000,152760,219427,Combined arts,South West,South West,Bristol West,"Bristol, City of",Non-LUCP,Non-Priority place,
Stagetext,IPSO (Transfer),,268773,273718,363718,Not discipline specific,London,London,Bermondsey and Old Southwark,Southwark,Non-LUCP,Non-Priority place,
Stanley Halls,NPO,,0,0,307000,Combined arts,London,London,Croydon North,Croydon,Non-LUCP,Priority place,
Stanley Picker Gallery,NPO,,80000,81472,81472,Visual arts,London,London,Kingston and Surbiton,Kingston upon Thames,Non-LUCP,Non-Priority place,
Stan's Cafe,NPO,,156865,159751,159751,Theatre,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,
Steve Ross Foundation for the Arts,NPO,,0,0,150000,Combined arts,South West,South East,Isle of Wight,Isle of Wight,LUCP,Priority place,
Stockton Arts Centre Ltd,NPO,,306091,311723,371723,Combined arts,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,
Stockton Borough Council Tees Valley Museum Group,NPO,,375000,381900,601900,Museums,North,North East,Stockton South,Stockton-on-Tees,LUCP,Priority place,
Stockton International Riverside Festival,NPO,,301356,306901,306901,Combined arts,North,North East,Stockton North,Stockton-on-Tees,LUCP,Priority place,
Stoke on Trent & North Staffordshire Theatre Trust,NPO,,932401,949557,1149557,Theatre,Midlands,West Midlands,Newcastle-under-Lyme,Newcastle-under-Lyme,Non-LUCP,Non-Priority place,
Stopgap Dance Company,NPO,,276654,281744,450000,Dance,South East,South East,South West Surrey,Waverley,Non-LUCP,Non-Priority place,
Streetwise Opera,NPO,,100580,102431,102431,Music,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Strike A Light (Gloucester),NPO,,85000,86564,249534,Combined arts,South West,South West,Gloucester,Gloucester,LUCP,Priority place,
Stroud Valleys Artspace,NPO,,68947,70216,70216,Visual arts,South West,South West,Stroud,Stroud,Non-LUCP,Non-Priority place,
Studio 3 Arts,NPO,,117993,120164,165164,Combined arts,London,London,Barking,Barking and Dagenham,Non-LUCP,Priority place,
Studio Voltaire,NPO,,67079,68313,68313,Visual arts,London,London,Vauxhall,Lambeth,Non-LUCP,Non-Priority place,
Studio Wayne McGregor,NPO,,515212,524692,524692,Dance,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,
Suffolk Libraries,NPO,,176000,179238,275172,Libraries,South East,East of England,Ipswich,Ipswich,Non-LUCP,Non-Priority place,
Sunderland Culture,NPO,,500000,509200,634200,Combined arts,North,North East,Sunderland Central,Sunderland,LUCP,Non-Priority place,
Sunshine International Arts,NPO,,75000,76380,76380,Combined arts,London,London,Tottenham,Haringey,Non-LUCP,Non-Priority place,
Surface Area Dance Theatre CIC,NPO,,0,0,209636,Dance,North,North East,Houghton and Sunderland South,Sunderland,LUCP,Non-Priority place,
Swindon Dance,NPO,,206200,209994,209994,Dance,South West,South West,South Swindon,Swindon,LUCP,Priority place,
Take Art Limited,NPO,,160425,163377,163377,Combined arts,South West,South West,Yeovil,South Somerset,LUCP,Priority place,
Talawa Theatre Company Ltd,NPO,,440305,448407,698407,Theatre,London,London,Croydon Central,Croydon,Non-LUCP,Priority place,
Talking Birds Theatre Company Limited,NPO,,101748,103620,103620,Theatre,Midlands,West Midlands,Coventry North West,Coventry,Non-LUCP,Non-Priority place,
Tamasha Theatre Company,NPO,,314465,320251,320251,Theatre,London,London,Bethnal Green and Bow,Tower Hamlets,Non-LUCP,Non-Priority place,
Tangle Ltd,NPO,,101000,102858,152858,Theatre,South West,South West,South Swindon,Swindon,LUCP,Priority place,
Tangled Feet,NPO,,192945,196495,291495,Theatre,South East,East of England,Luton South,Luton,LUCP,Priority place,
Tara Theatre,NPO,,0,211006,422000,Theatre,London,London,Tooting,Wandsworth,Non-LUCP,Non-Priority place,"Started the 2018-22 portfolio as NPOs, but for various reasons didn't complete the funding period."
Tavaziva Dance,NPO,,188505,191973,191973,Dance,London,London,Battersea,Wandsworth,Non-LUCP,Non-Priority place,
Tech Styles Dance LTD,NPO,,0,0,198000,Dance,North,Yorkshire and The Humber,Bradford East,Bradford,Non-LUCP,Non-Priority place,
Tees Valley Arts,NPO,,0,0,100000,Visual arts,North,North East,Redcar,Redcar and Cleveland,LUCP,Priority place,
Teesside University,NPO,,510757,520155,520155,Visual arts,North,North East,Middlesbrough,Middlesbrough,LUCP,Priority place,
Tete a Tete,NPO,,100580,102431,102431,Music,South West,London,Twickenham,Richmond upon Thames,Non-LUCP,Non-Priority place,
Thackray Medical Museum,NPO,,221885,225968,225968,Museums,North,Yorkshire and The Humber,Leeds East,Leeds,Non-LUCP,Non-Priority place,
The 87 Press LTD,NPO,,0,0,100000,Literature,London,London,Sutton and Cheam,Sutton,Non-LUCP,Non-Priority place,
